label,name
mn0003013627,Daughter
mn0000206668,Des'ree
mn0000622805,Stevie Wonder
mn0000576718,Seal
mn0000302106,Lisa Stansfield
mn0000855953,Prodigy
mn0000389137,Rakim
mn0000460953,Regis
mn0000147282,D.A.F.
mn0000926604,Throbbing Gristle
mn0000387765,Renegade Soundwave
mn0000635413,Cabaret Voltaire
mn0000475738,Odds
mn0000052749,The Blood Oranges
mn0000751613,Andrea Bocelli
mn0000102985,Julio Iglesias
mn0000018977,Barry Manilow
mn0000228714,Mario Lanza
mn0000851639,Plácido Domingo
mn0000230667,Zucchero
mn0000006334,Tony Bennett
mn0000579458,Luciano Pavarotti
mn0000792507,Frank Sinatra
mn0000047421,The Blues Brothers
mn0000170454,Carla Thomas
mn0000282709,Sam & Dave
mn0000107877,James Carr
mn0000227675,Walter Jackson
mn0000894531,Otis Clay
mn0000838195,Percy Sledge
mn0000677781,Wilson Pickett
mn0000761002,The Falcons
mn0000059655,The Mar-Keys
mn0000203963,Downchild Blues Band
mn0000031067,Solomon Burke
mn0000101946,Isaac Hayes
mn0000414251,Otis Redding
mn0000457807,O.V. Wright
mn0000642542,Burt Bacharach
mn0000051909,Carpenters
mn0000625736,Brian Wilson
mn0000845443,Philly Joe Jones
mn0000396372,Max Roach
mn0000104388,Jack DeJohnette
mn0000791318,Tony Williams
mn0000179379,Elvin Jones
mn0000767741,Billy Cobham
mn0000819344,Desmond Dekker
mn0000425105,The Skatalites
mn0000479350,The Toasters
mn0000482334,The Specials
mn0000075747,The Clash
mn0000157676,Eminem
mn0000336222,Roots Manuva
mn0000161773,Dizzee Rascal
mn0000744075,Toumani Diabaté
mn0000006613,Ali Farka Touré
mn0000068738,The Chills
mn0000169099,Lush
mn0000140885,Curve
mn0001588364,Singleton Palmer
mn0000127044,Count Basie
mn0000133832,Clark Terry
mn0000275583,Mark Gardener
mn0000631774,The Byrds
mn0000209142,George Harrison
mn0000379125,Neil Young
mn0000950571,Harry James
mn0000755156,Sonic Youth
mn0000756318,Jim O'Rourke
mn0000223054,John Fahey
mn0000601225,Add N to (X)
mn0000480086,Modest Mouse
mn0000184044,Enon
mn0000058144,Adult.
mn0000568071,The Stranglers
mn0000418740,Sex Pistols
mn0000022928,Steppenwolf
mn0000114342,The Doors
mn0000567190,? & the Mysterians
mn0000749734,Slade
mn0000100160,The Kinks
mn0000923432,The Wailers
mn0000562304,The Stooges
mn0000852855,Roxy Music
mn0000894465,The Rolling Stones
mn0000596126,Mott the Hoople
mn0000500664,The Seeds
mn0000469286,The Music Machine
mn0000204708,Dr. Feelgood
mn0001765718,39 Clocks
mn0000645612,Can
mn0000840402,The Velvet Underground
mn0000889258,Michael Yonkers
mn0000792275,The Electric Eels
mn0000793329,Faust
mn0000126998,The Count Five
mn0000504928,The 13th Floor Elevators
mn0000180263,Flamin' Groovies
mn0000809999,UFO
mn0000084209,Kiss
mn0000604852,Aerosmith
mn0000574772,AC/DC
mn0000139026,Led Zeppelin
mn0000239827,John Mayer
mn0000531986,David Bowie
mn0000137390,The Cure
mn0000615119,Tom Waits
mn0000129775,Parliament
mn0000864652,RZA
mn0000361393,Prince
mn0000428717,The Sonics
mn0000276085,Howlin' Wolf
mn0000959876,Wu-Tang Clan
mn0000115140,Commander Cody and His Lost Planet Airmen
mn0000845468,Jerry Jeff Walker
mn0000003829,T-Bone Walker
mn0000287604,Louis Jordan
mn0000120521,Chuck Berry
